File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Dropbox\PythonProject\Projects\Scribus\OSX-package\linktools\ingest.py,73,57,0,6,16,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\OSX-package\linktools\MachO.py,215,180,0,49,35,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\OSX-package\linktools\mkappbundle.py,88,67,0,9,21,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\OSX-package\linktools\mkframework.py,112,90,1,10,22,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\OSX-package\linktools\osxtools.py,115,99,1,21,16,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\resources\editorconfig\helperscripts\latexicons.py,62,51,0,9,11,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\designer\smwidgets\make_cmakelists.py,62,51,9,5,11,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\doc\scridoc.py,231,185,6,34,46,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\3columnA4.py,54,43,0,2,11,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\3columnUSLTR.py,52,40,0,2,12,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\boilerplate.py,52,45,0,2,7,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\Calender.py,76,69,1,10,7,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\ExtractText.py,82,63,0,6,19,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\golden-mean.py,76,56,1,3,20,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\legende.py,40,31,0,2,9,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\moins_10_pourcent_group.py,18,13,0,1,5,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\plus_10_pourcent_group.py,18,13,0,1,5,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\pochette_cd.py,118,111,0,2,7,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\quote.py,76,65,1,11,11,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\Sample1.py,27,20,0,2,7,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\sample_db_usage.py,91,70,0,1,21,2,0,2,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\trait_de_coupe.py,43,37,0,2,6,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\samples\wordcount.py,66,54,1,12,12,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\scripts\Autoquote.py,167,158,0,14,9,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\scripts\CalendarWizard.py,671,605,1,40,66,3,0,3,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\scripts\color2csv.py,161,137,0,10,24,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\scripts\ColorChart.py,351,308,1,20,43,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\scripts\csv2color.py,188,157,1,15,31,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\scripts\DirectImageImport.py,94,70,0,4,24,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\scripts\FontSample.py,1579,1336,17,127,243,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\scripts\importcsv2table.py,209,175,0,17,34,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\plugins\scriptplugin\scripts\InfoBox.py,179,154,0,18,25,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\Scribus\scribus\unicodemap\stripNamesListTxt.py,32,23,1,3,9,1,0,1,0,0
